
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
31-May-2013,17:03,18:07,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,23.45,""
31-May-2013,17:03,,"Auto top-up, Syon Lane [National Rail]",,20.00,27.05,""
30-May-2013,07:21,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,7.05,""
29-May-2013,20:11,20:45,"Barbican to Cutty Sark DLR",1.90,,10.65,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
29-May-2013,17:02,18:02,"Syon Lane [National Rail] to Old Street",5.10,,12.55,""
29-May-2013,07:24,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,17.65,""
28-May-2013,17:04,18:07,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,21.25,""
28-May-2013,07:23,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,24.85,""
28-May-2013,07:23,,"Auto top-up, Deptford [National Rail]",,20.00,28.45,""
27-May-2013,19:07,19:40,"Waterloo (Jubilee line entrance) to Cutty Sark DLR",2.10,,8.45,""
27-May-2013,,19:03,"[No touch-in] to Waterloo (platforms 12-19) [National Rail]",4.90,,10.55,"We are not able to show where you touched in during this journey"
27-May-2013,08:09,08:36,"Deptford [National Rail] to Waterloo (Jubilee line entrance)",3.30,,15.45,""
26-May-2013,19:32,20:20,"Euston [London Underground] to Cutty Sark DLR",2.10,,18.75,""
26-May-2013,07:15,07:51,"Cutty Sark DLR to Euston [London Underground]",2.10,,20.85,""
24-May-2013,17:02,18:06,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,22.95,""
24-May-2013,17:02,,"Auto top-up, Syon Lane [National Rail]",,20.00,26.55,""
24-May-2013,07:20,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,6.55,""
23-May-2013,17:02,18:07,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,10.15,""
23-May-2013,07:22,08:25,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,13.75,""
22-May-2013,17:02,18:05,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,17.35,""
21-May-2013,17:01,18:05,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,20.95,""
21-May-2013,07:23,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,24.55,""
21-May-2013,07:23,,"Auto top-up, Deptford [National Rail]",,20.00,28.15,""
20-May-2013,07:22,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,8.15,""
18-May-2013,23:01,,"Bus journey, route 188",1.40,,11.75,""
18-May-2013,19:03,19:17,"Stratford to North Greenwich",1.50,,13.15,""
18-May-2013,15:32,16:14,"Greenwich [DLR / National Rail] to Stratford",1.50,,14.65,""
17-May-2013,17:04,18:05,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,16.15,""
17-May-2013,07:21,08:29,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,19.75,""
16-May-2013,20:44,20:56,"Cannon Street [National Rail] to Deptford [National Rail]",1.90,,23.35,""
16-May-2013,20:44,,"Auto top-up, Cannon Street [National Rail]",,20.00,25.25,""
16-May-2013,17:02,17:47,"Syon Lane [National Rail] to Bank",5.10,,5.25,""
15-May-2013,17:01,18:06,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,10.35,""
15-May-2013,07:20,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,13.95,""
12-May-2013,13:31,14:54,"Heathrow Terminal 5 [London Underground] to Cutty Sark DLR",3.00,,17.55,""
10-May-2013,18:00,18:19,"Osterley to Heathrow Terminal 5 [London Underground]",2.30,,20.55,""
10-May-2013,07:22,08:27,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,22.85,""
10-May-2013,07:22,,"Auto top-up, Deptford [National Rail]",,20.00,26.45,""
09-May-2013,17:03,18:04,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,6.45,""
09-May-2013,07:22,08:27,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,10.05,""
06-May-2013,14:45,15:20,"Piccadilly Circus to Cutty Sark DLR",2.10,,13.65,""
06-May-2013,11:18,11:58,"Cutty Sark DLR to Euston [London Underground]",2.10,,15.75,""
05-May-2013,15:49,16:34,"Victoria [London Underground] to Cutty Sark DLR",2.10,,17.85,""
05-May-2013,13:02,13:47,"Cutty Sark DLR to Victoria [London Underground]",2.10,,19.95,""
03-May-2013,22:21,,"Bus journey, route 188",1.40,,22.05,""
03-May-2013,18:58,,"Bus journey, route 188",1.40,,23.45,""
03-May-2013,17:02,18:07,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,24.85,""
03-May-2013,17:02,,"Auto top-up, Syon Lane [National Rail]",,20.00,28.45,""
03-May-2013,07:21,08:26,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,8.45,""
02-May-2013,17:02,18:05,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,12.05,""
02-May-2013,07:22,08:41,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,15.65,""
01-May-2013,17:03,18:05,"Syon Lane [National Rail] to Deptford [National Rail]",3.60,,19.25,""
01-May-2013,07:18,08:28,"Deptford [National Rail] to Syon Lane [National Rail]",3.60,,22.85,""
